S No,pH,Temperature,Moisture,Time_log,Gadget Id,Location,target
30,7.0,27.5,47.8,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
31,7.0,27.5,47.8,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
32,7.0,27.5,48.0,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
33,7.0,27.5,47.9,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
34,7.0,27.5,47.9,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
35,7.0,27.5,48.0,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
36,7.0,27.5,48.0,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
37,7.0,27.5,47.9,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
38,7.0,27.5,48.0,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
39,7.0,27.5,48.1,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
40,7.0,27.5,48.0,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
41,7.0,27.5,48.0,18-01-2022 10:29,NITSL001,Farm 1,no_irrigation
42,7.0,27.5,48.1,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
43,7.0,27.5,48.0,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
44,7.0,27.5,48.1,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
45,7.0,27.5,48.1,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
46,7.0,27.5,48.0,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
47,7.0,27.5,48.3,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
48,7.0,27.5,48.0,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
49,7.0,27.5,48.0,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
50,7.0,27.5,47.9,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
51,7.0,27.5,47.9,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
52,7.0,27.5,48.0,18-01-2022 10:30,NITSL001,Farm 1,no_irrigation
53,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
54,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
55,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
56,7.0,27.5,48.2,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
57,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
58,7.0,27.5,48.1,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
59,7.0,27.5,47.9,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
60,7.0,27.5,48.1,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
61,7.0,27.5,47.9,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
62,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
63,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
64,7.0,27.5,48.0,18-01-2022 10:31,NITSL001,Farm 1,no_irrigation
65,7.0,27.5,47.9,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
66,7.0,27.5,48.2,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
67,7.0,27.5,47.8,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
68,7.0,27.5,48.1,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
69,7.0,27.5,48.0,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
70,7.0,27.5,48.2,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
71,7.0,27.5,47.9,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
72,7.0,27.5,48.1,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
73,7.0,27.5,47.9,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
74,7.0,27.5,48.0,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
75,7.0,27.5,48.2,18-01-2022 10:32,NITSL001,Farm 1,no_irrigation
76,7.0,27.5,48.1,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
77,7.0,27.5,47.8,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
78,7.0,27.5,48.0,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
79,7.0,27.5,47.9,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
80,7.0,27.5,48.0,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
81,7.0,27.5,48.0,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
82,7.0,27.5,47.9,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
83,7.0,27.5,47.9,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
84,7.0,27.5,48.1,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
85,7.0,27.5,48.1,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
86,7.0,27.5,45.0,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
87,7.0,27.5,44.3,18-01-2022 10:33,NITSL001,Farm 1,no_irrigation
88,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
89,7.0,27.5,50.9,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
90,7.0,27.5,51.3,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
91,7.0,27.5,51.2,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
92,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
93,7.0,27.5,51.0,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
94,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
95,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
96,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
97,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
98,7.0,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1,no_irrigation
99,7.0,27.5,51.1,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
100,7.0,27.5,51.0,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
101,7.0,27.5,51.1,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
102,7.0,27.5,50.9,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
103,7.0,27.5,51.1,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
104,7.0,27.5,51.1,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
105,7.0,27.5,51.0,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
106,7.0,27.5,51.4,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
107,7.0,27.5,50.2,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
108,7.0,27.5,47.9,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
109,7.0,27.5,47.6,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
110,7.0,27.5,47.6,18-01-2022 10:35,NITSL001,Farm 1,no_irrigation
111,7.0,27.5,47.5,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
112,7.0,27.5,47.5,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
113,7.0,27.5,47.2,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
114,7.0,27.5,47.7,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
115,7.0,27.5,47.3,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
116,7.0,27.5,47.5,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
117,7.0,27.5,47.4,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
118,7.0,27.5,47.3,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
119,7.0,27.5,47.3,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
120,7.0,27.5,47.5,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
121,7.0,27.5,47.4,18-01-2022 10:36,NITSL001,Farm 1,no_irrigation
122,7.0,27.5,47.6,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
123,7.0,27.5,47.5,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
124,7.0,27.5,47.5,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
125,7.0,27.5,47.4,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
126,7.0,27.5,47.3,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
127,7.0,27.5,47.5,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
128,7.0,27.5,47.4,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
129,7.0,27.5,47.5,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
130,7.0,27.5,47.3,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
131,7.0,27.5,47.5,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
132,7.0,27.5,47.2,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
133,7.0,27.5,47.5,18-01-2022 10:37,NITSL001,Farm 1,no_irrigation
134,7.0,27.5,47.5,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
135,7.0,27.5,47.3,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
136,7.0,27.5,47.2,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
137,7.0,27.5,47.2,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
138,7.0,27.5,47.3,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
139,7.0,27.5,47.3,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
140,7.0,27.5,47.3,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
141,7.0,27.5,47.5,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
142,7.0,27.5,47.2,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
143,7.0,27.5,47.2,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
144,7.0,27.5,47.2,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
145,7.0,27.5,47.3,18-01-2022 10:38,NITSL001,Farm 1,no_irrigation
146,7.0,27.5,47.2,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
147,7.0,27.5,47.2,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
148,7.0,27.5,47.3,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
149,7.0,27.5,47.2,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
150,7.0,27.5,47.2,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
151,7.0,27.5,47.4,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
152,7.0,27.5,47.4,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
153,7.0,27.5,47.3,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
154,7.0,27.5,47.3,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
155,7.0,27.5,47.2,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
156,7.0,27.5,47.2,18-01-2022 10:39,NITSL001,Farm 1,no_irrigation
157,7.0,27.5,47.5,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
158,7.0,27.5,47.4,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
159,7.0,27.5,47.3,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
160,7.0,27.5,47.2,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
161,7.0,27.5,47.2,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
162,7.0,27.5,47.2,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
163,7.0,27.5,47.5,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
164,7.0,27.5,47.2,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
165,7.0,27.5,47.3,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
166,7.0,27.5,47.2,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
167,7.0,27.5,47.5,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
168,7.0,27.5,47.3,18-01-2022 10:40,NITSL001,Farm 1,no_irrigation
169,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
170,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
171,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
172,7.0,27.5,47.5,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
173,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
174,7.0,27.5,47.4,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
175,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
176,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
177,7.0,27.5,47.2,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
178,7.0,27.5,47.1,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
179,7.0,27.5,47.4,18-01-2022 10:41,NITSL001,Farm 1,no_irrigation
180,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
181,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
182,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
183,7.0,27.5,47.2,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
184,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
185,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
186,7.0,27.5,47.3,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
187,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
188,7.0,27.5,47.5,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
189,7.0,27.5,47.2,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
190,7.0,27.5,47.2,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
191,7.0,27.5,47.4,18-01-2022 10:42,NITSL001,Farm 1,no_irrigation
192,7.0,27.5,47.4,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
193,7.0,27.5,47.3,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
194,7.0,27.5,47.3,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
195,7.0,27.5,47.2,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
196,7.0,27.5,47.3,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
197,7.0,27.5,47.2,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
198,7.0,27.5,47.3,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
199,7.0,27.5,47.4,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
200,7.0,27.5,47.2,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
201,7.0,27.5,47.2,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
202,7.0,27.5,47.2,18-01-2022 10:43,NITSL001,Farm 1,no_irrigation
203,7.0,27.5,47.4,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
204,7.0,27.5,47.2,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
205,7.0,27.5,47.2,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
206,7.0,27.5,47.4,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
207,7.0,27.5,47.4,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
208,7.0,27.5,47.4,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
209,7.0,27.5,47.3,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
210,7.0,27.5,47.3,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
211,7.0,27.5,47.3,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
212,7.0,27.5,47.2,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
213,7.0,27.5,47.1,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
214,7.0,27.5,47.2,18-01-2022 10:44,NITSL001,Farm 1,no_irrigation
215,7.0,27.5,47.3,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
216,7.0,27.5,47.3,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
217,7.0,27.5,47.0,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
218,7.0,27.5,47.3,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
219,7.0,27.5,47.3,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
220,7.0,27.5,47.1,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
221,7.0,27.5,47.2,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
222,7.0,27.5,47.2,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
223,7.0,27.5,46.9,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
224,7.0,27.5,47.2,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
225,7.0,27.5,46.9,18-01-2022 10:45,NITSL001,Farm 1,no_irrigation
226,7.0,27.5,47.1,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
227,7.0,27.5,47.2,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
228,7.0,27.5,46.6,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
229,7.0,27.5,46.6,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
230,7.0,27.5,47.0,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
231,7.0,27.5,47.1,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
232,7.0,27.5,47.1,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
233,7.0,27.5,47.0,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
234,7.0,27.5,47.0,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
235,7.0,27.5,46.8,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
236,7.0,27.5,46.9,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
237,7.0,27.5,46.9,18-01-2022 10:46,NITSL001,Farm 1,no_irrigation
238,7.0,27.5,46.9,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
239,7.0,27.5,46.9,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
240,7.0,27.5,46.9,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
241,7.0,27.5,47.0,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
242,7.0,27.5,47.0,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
243,7.0,27.5,46.9,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
244,7.0,27.5,47.0,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
245,7.0,27.5,47.0,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
246,7.0,27.5,46.9,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
247,7.0,27.5,46.7,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
248,7.0,27.5,47.0,18-01-2022 10:47,NITSL001,Farm 1,no_irrigation
249,7.0,27.5,47.1,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
250,7.0,27.5,47.0,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
251,7.0,27.5,47.0,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
252,7.0,27.5,47.0,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
253,7.0,27.5,46.9,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
254,7.0,27.5,47.0,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
255,7.0,27.5,47.2,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
256,7.0,27.5,47.1,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
257,7.0,27.5,47.0,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
258,7.0,27.5,47.2,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
259,7.0,27.5,47.2,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
260,7.0,27.5,47.0,18-01-2022 10:48,NITSL001,Farm 1,no_irrigation
261,7.0,27.5,47.0,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
262,7.0,27.5,47.1,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
263,7.0,27.5,47.2,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
264,7.0,27.5,47.2,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
265,7.0,27.5,47.0,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
266,7.0,27.5,47.2,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
267,7.0,27.5,47.1,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
268,7.0,27.5,46.9,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
269,7.0,27.5,47.3,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
270,7.0,27.5,46.9,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
271,7.0,27.5,47.0,18-01-2022 10:49,NITSL001,Farm 1,no_irrigation
272,7.0,27.5,47.2,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
273,7.0,27.5,47.0,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
274,7.0,27.5,46.9,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
275,7.0,27.5,47.1,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
276,7.0,27.5,47.2,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
277,7.0,27.5,47.1,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
278,7.0,27.5,47.1,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
279,7.0,27.5,47.2,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
280,7.0,27.5,47.1,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
281,7.0,27.5,47.1,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
282,7.0,27.5,47.2,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
283,7.0,27.5,47.0,18-01-2022 10:50,NITSL001,Farm 1,no_irrigation
284,7.0,27.5,47.0,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
285,7.0,27.5,47.1,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
286,7.0,27.5,47.2,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
287,7.0,27.5,47.1,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
288,7.0,27.5,47.2,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
289,7.0,27.5,47.1,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
290,7.0,27.5,47.1,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
291,7.0,27.5,47.0,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
292,7.0,27.5,47.2,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
293,7.0,27.5,47.2,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
294,7.0,27.5,47.2,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
295,7.0,27.5,47.1,18-01-2022 10:51,NITSL001,Farm 1,no_irrigation
296,7.0,27.5,47.2,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
297,7.0,27.5,47.1,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
298,7.0,27.5,47.2,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
299,7.0,27.5,46.9,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
300,7.0,27.5,47.0,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
301,7.0,27.5,46.9,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
302,7.0,27.5,47.2,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
303,7.0,27.5,47.2,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
304,7.0,27.5,47.1,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
305,7.0,27.5,47.1,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
306,7.0,27.5,47.2,18-01-2022 10:52,NITSL001,Farm 1,no_irrigation
307,7.0,27.5,47.2,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
308,7.0,27.5,47.0,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
309,7.0,27.5,47.2,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
310,7.0,27.5,47.1,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
311,7.0,27.5,47.1,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
312,7.0,27.5,47.2,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
313,7.0,27.5,47.0,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
314,7.0,27.5,46.9,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
315,7.0,27.5,47.1,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
316,7.0,27.5,47.0,18-01-2022 10:53,NITSL001,Farm 1,no_irrigation
